1000
2000
907	470
695	646
540	839
900	151
10	311
383	192
583	21
339	562
956	903
530	538
672	750
556	892
942	663
252	553
177	415
434	984
260	535
444	146
492	724
694	760
471	509
771	297
53	770
398	646
828	151
839	348
166	595
406	566
813	709
240	779
815	941
350	369
526	108
340	808
645	840
32	50
70	320
601	812
217	467
691	838
872	209
392	885
693	319
725	695
638	780
150	77
457	874
58	944
239	458
77	733
599	852
150	58
139	437
821	711
601	151
916	790
30	934
476	718
540	361
751	358
134	557
34	262
146	25
406	803
608	144
169	332
984	650
672	863
95	679
744	894
978	464
348	504
37	57
357	464
303	50
472	354
199	122
693	203
642	328
621	249
278	144
67	118
7	304
605	171
483	614
22	101
208	949
188	136
427	417
340	266
667	827
1000	207
625	152
134	533
930	645
224	419
57	758
108	317
196	264
17	643
303	948
841	120
363	317
845	78
478	97
595	880
296	170
655	415
244	115
588	49
447	365
518	409
489	539
393	653
755	136
261	964
397	122
405	1000
472	837
757	22
751	175
881	843
313	624
6	47
548	566
985	917
610	804
55	293
625	878
242	537
484	563
865	857
386	744
887	258
986	781
526	952
514	13
947	533
704	230
82	552
62	626
701	330
861	696
375	947
646	419
244	725
108	53
594	162
572	430
492	504
495	684
656	100
148	145
121	801
64	814
296	78
640	935
450	922
523	412
252	173
894	710
569	986
389	986
310	974
936	543
419	855
249	16
894	898
268	682
353	971
383	615
336	3
705	61
987	796
796	536
190	855
635	458
831	919
827	914
615	499
322	579
808	483
38	551
762	680
571	590
597	765
243	526
544	520
838	850
749	365
86	837
286	257
540	320
133	844
389	482
125	528
743	100
813	644
583	683
111	711
749	730
554	130
598	378
199	249
778	862
365	822
639	555
592	33
32	775
279	578
871	828
1000	15
842	781
11	331
316	648
919	508
121	383
877	835
399	616
735	970
127	805
271	877
736	633
731	441
218	539
12	785
408	642
628	453
544	201
714	428
56	544
604	73
708	900
816	639
247	650
798	199
326	669
21	877
702	220
543	737
5	245
913	671
21	335
814	747
956	791
70	29
82	758
701	781
39	837
532	635
472	322
345	128
424	756
656	46
411	106
832	303
431	260
331	944
314	63
299	20
954	956
338	444
715	479
767	912
111	733
307	482
451	536
692	573
293	795
529	600
823	787
462	734
681	598
975	144
285	225
58	105
454	539
880	23
